0.044	0.9912	12.4
0.032	0.9914	11.4
0.029	0.9892	12.8
0.029	0.9892	12.8
0.038	0.9912	11
0.049	0.993	10.5
0.033	0.9906	12.3
0.058	0.9931	10
0.068	0.9914	11
0.057	0.991	10.9
0.04	0.9903	12.6
0.046	0.9926	10.7
0.046	0.9926	10.7
0.043	0.9898	12.7
0.042	0.9912	12
0.035	0.99	12.6
0.034	0.9899	12.6
0.04	0.9916	11.5
0.034	0.9913	11.4
0.038	0.9958	9.7
0.044	0.9924	10.9
0.038	0.9958	9.7
0.035	0.9917	10.8
0.034	0.9917	12
0.043	0.9934	11.5
0.036	0.9898	12.4
0.036	0.9894	12.1
0.036	0.9894	12.1
0.036	0.9898	12.4
0.034	0.9896	12.6
0.038	0.9918	11.5
0.034	0.9906	12.7
0.038	0.9918	11.2
0.03	0.9912	11.1
0.03	0.9912	11.1
0.037	0.9918	11.1
0.026	0.9903	11.4
0.03	0.99	12.6
0.031	0.9905	10.9
0.03	0.9905	10.9
0.04	0.9935	9.6
0.035	0.9927	11
0.035	0.9927	11
0.036	0.9916	12.4
0.034	0.99	12.6
0.039	0.9909	12.3
0.058	0.9979	9
0.058	0.9979	9
0.058	0.9979	9
0.058	0.9979	9
0.041	0.9957	9.8
0.041	0.9932	11.2
0.036	0.9927	10.4
0.035	0.9917	11.5
0.032	0.9918	12.5
0.03	0.9933	11.5
0.041	0.9927	10.3
0.03	0.9912	12.5
0.049	0.9934	10.2
0.045	0.9964	9
0.031	0.9906	11.2
0.044	0.9914	11.4
0.038	0.992	11.9
0.038	0.992	11.9
0.037	0.9923	11.4
0.028	0.9912	12.3
0.027	0.9893	12.5
0.027	0.9893	12.5
0.037	0.9919	10.4
0.045	0.9924	10
0.037	0.9919	10.4
0.045	0.9924	10
0.027	0.991	11.3
0.027	0.9893	12.5
0.026	0.9906	10.8
0.032	0.9983	9.3
0.032	0.9983	9.3
0.031	0.9896	12.8
0.03	0.9898	12.7
0.047	0.9954	10.5
0.045	0.9934	9.9
0.028	0.9922	12.1
0.027	0.992	12.2
0.035	0.9906	12.4
0.045	0.9934	9.9
0.028	0.9913	11.6
0.026	0.9898	12.9
0.052	0.9929	10.5
0.042	0.9931	10.6
0.046	0.9924	10.5
0.052	0.9929	10.5
0.022	0.9892	12.9
0.034	0.9944	9.6
0.028	0.9893	12.4
0.032	0.9898	12.7
0.048	0.9938	10
0.048	0.9938	10
0.036	0.9952	10.3
0.044	0.9928	10.2
0.05	0.9976	9.6
0.026	0.9916	11.3
0.028	0.9901	12.1
0.05	0.9976	9.6
0.028	0.9901	12.1
0.026	0.9916	11.3
0.049	0.9953	9.9
0.046	0.9928	10.4
0.038	0.9912	11.6
0.032	0.99	12.7
0.035	0.991	11.7
0.033	0.9899	12.7
0.038	0.9912	11.6
0.034	0.9912	12.3
0.046	0.993	10.1
0.034	0.992	10.8
0.036	0.9926	10.8
0.051	0.9926	10.5
0.036	0.9949	10.5
0.036	0.9909	11.5
0.037	0.9908	12.4
0.037	0.9912	11.7
0.039	0.9952	11
0.037	0.9931	10.8
0.047	0.991	11
0.067	0.9986	9.1
0.067	0.9986	9.1
0.067	0.9986	9.1
0.067	0.9986	9.1
0.048	0.9917	11.4
0.032	0.9952	12.2
0.039	0.995	12.5
0.033	0.991	11.8
0.033	0.991	11.8
0.033	0.991	11.8
0.043	0.9938	10.7
0.039	0.9922	10.8
0.03	0.9894	13.9
0.038	0.9933	10.5
0.038	0.9933	10.5
0.042	0.9937	10.2
0.02	0.99035	12.4
0.028	0.9914	10.9
0.038	0.99155	11.7
0.022	0.9934	11.1
0.021	0.99215	10.8
0.032	0.9907	12.2
0.051	0.9932	9.8
0.047	0.9932	9.8
0.043	0.9962	9.3
0.043	0.9962	9.3
0.045	0.9942	9.8
0.13	0.9927	9.3
0.135	0.9927	9.3
0.035	0.997	10.4
0.053	0.9992	9.5
0.053	1.0006	8.8
0.053	0.9992	9.5
0.053	1.0006	8.8
0.037	0.9949	10
0.033	0.99225	10.9
0.033	0.99225	10.9
0.036	0.99085	11.1
0.039	0.99795	9.8
0.055	0.99405	9.1
0.021	0.98965	12.4
0.031	0.99055	12.5
0.044	0.9959	10.9
0.043	0.9925	11
0.044	0.99105	12.8
0.04	0.99155	12.8
0.034	0.99085	11.9
0.034	0.99085	11.9
0.034	0.99085	11.9
0.034	0.9924	12
0.036	0.9924	12
0.044	0.99975	8.8
0.044	0.99975	8.8
0.036	0.99315	10.8
0.034	0.9917	11
0.034	0.9917	11
0.044	0.99975	8.8
0.036	0.99315	10.8
0.036	0.9934	9.5
0.036	0.9934	9.5
0.038	0.9949	10.3
0.038	0.99725	10
0.03	0.99255	10.4
0.041	0.9996	9.1
0.036	0.9934	9.5
0.042	1	8.5
0.04	0.9994	9
0.037	0.993	10
0.018	0.9898	12.7
0.037	0.9919	11.9
0.037	0.993	10
0.024	0.9906	12.2
0.044	0.99185	11
0.044	0.99185	11
0.031	0.9908	11
0.037	0.9896	12.2
0.031	0.9908	11
0.052	0.9947	11
0.056	0.9944	8.8
0.036	0.9908	12.2
0.042	0.995	10.3
0.04	0.9923	10.2
0.057	0.9956	9.4
0.044	0.9934	10.7
0.057	0.9934	9.5
0.017	0.9929	11.9
0.044	0.9982	9.6
0.039	0.99265	10
0.03	0.9904	12.2
0.051	0.9965	8.7
0.058	0.9946	10.2
0.041	0.9926	10.2
0.039	0.9926	10.2
0.037	0.992	12.3
0.028	0.991	12
0.019	0.9906	11.4
0.017	0.9894	12.3
0.02	0.9898	12.6
0.028	0.991	12
0.037	0.9951	10.7
0.037	0.9951	10.7
0.036	0.9935	12
0.046	0.9936	10.1
0.05	0.9936	9.8
0.063	0.9928	10.4
0.059	0.993	10.3
0.048	0.9932	11.2
0.041	0.9925	11.4
0.041	0.9925	11.4
0.019	0.9935	11.1
0.052	0.9941	10.4
0.034	0.9953	9.3
0.049	0.9924	10.9
0.054	0.992	11.6
0.037	0.9923	11.1
0.024	0.9917	12.6
0.04	0.992	11.3
0.036	0.9953	10.9
0.033	0.9904	12.7
0.059	0.9956	9
0.035	0.9942	10.1
0.027	0.992	11.2
0.037	0.992	11.2
0.034	0.9934	10.6
0.038	0.9945	10.6
0.033	0.9906	11
0.035	0.9942	10.1
0.025	0.9894	14
0.028	0.9922	11.5
0.027	0.992	11.2
0.029	0.9903	12.6
0.024	0.9893	12.6
0.029	0.9903	12.6
0.047	0.9928	10.4
0.04	0.9911	11.4
0.038	0.989	12.9
0.042	0.992	12
0.031	0.9918	11.8
0.027	0.9914	12.3
0.031	0.9934	11.7
0.043	0.9946	10.2
0.039	0.9984	9.4
0.033	0.9912	12.8
0.026	0.9914	11.1
0.024	0.9948	10.7
0.042	0.9998	9.1
0.024	0.9948	10.7
0.042	0.9998	9.1
0.02	0.9939	10.7
0.028	0.9922	10.8
0.034	0.9906	11.7
0.027	0.993	11.1
0.034	0.9906	11.7
0.034	0.992	12.5
0.033	0.9908	12.3
0.033	0.9908	12.3
0.03	0.992	12.4
0.033	0.992	12.6
0.041	0.9896	13.5
0.036	0.9938	10.6
0.033	0.9918	13.3
0.041	0.9896	13.5
0.055	0.9953	10.6
0.045	0.9925	10.8
0.034	0.9952	10.5
0.037	0.9911	12.2
0.059	0.9963	11.1
0.028	0.991	12.3
0.044	1.0003	8.6
0.044	1.0003	8.6
0.044	1.0003	8.6
0.028	0.9911	12.1
0.026	0.9927	12.7
0.028	0.9911	12.1
0.05	0.9912	11.4
0.032	0.9907	12.9
0.029	0.9902	12.8
0.045	0.9925	12.6
0.05	0.9948	10.7
0.047	0.99	12.8
0.04	0.9911	12.8
0.05	1.0004	9.3
0.034	0.991	12.6
0.042	0.9941	11.2
0.041	0.9908	12.2
0.043	0.991	12.7
0.039	0.9928	12.2
0.039	0.9936	11.9
0.042	0.9941	11.2
0.034	0.9917	12.8
0.027	0.9906	12.7
0.048	0.9911	12
0.04	0.9922	10.8
0.038	0.9948	10.6
0.04	0.9906	11.3
0.046	0.9927	10.1
0.042	0.9944	12
0.032	0.9902	12.4
0.032	0.9911	11.2
0.047	0.9918	11.1
0.044	0.9932	12
0.039	0.992	12.3
0.039	0.9907	13.7
0.044	0.9918	11.3
0.039	0.9907	13.7
0.039	0.9898	12.3
0.044	0.9918	11.3
0.05	0.9986	8.9
